Sb03g031640,GRMZM2G028568,GRMZM2G144028
Sb10g028840,GRMZM2G043348,GRMZM2G064050
Sb02g037460,GRMZM2G063420,GRMZM2G039622
Sb01g029490,GRMZM2G114893,GRMZM2G108668
Sb04g028550,GRMZM2G151223,GRMZM2G125943
Sb01g045740,GRMZM2G139963,GRMZM2G178741
Sb04g002620,GRMZM2G168762,GRMZM2G024310
Sb04g024790,GRMZM2G079682,GRMZM2G104118
Sb04g024010,GRMZM2G316366,GRMZM2G055782
Sb09g020610,GRMZM2G016817,GRMZM2G158918
Sb01g045580,GRMZM2G021498,GRMZM2G141084
Sb04g024940,GRMZM2G101274,GRMZM2G122983
Sb04g006530,GRMZM2G087719,GRMZM2G058866
Sb03g045410,GRMZM2G050997,GRMZM2G167220
Sb10g025310,GRMZM2G087806,GRMZM2G024437
Sb04g031070,GRMZM2G141975,GRMZM2G112456
Sb02g041910,GRMZM2G010342,GRMZM2G141258
Sb01g028700,GRMZM2G007939,GRMZM2G035749
Sb05g001430,GRMZM2G151516,GRMZM2G460138
Sb01g033030,GRMZM2G416156,GRMZM2G425482
Sb04g027660,GRMZM2G055204,GRMZM2G029323
Sb06g023430,GRMZM2G078526,GRMZM2G040803
Sb06g016840,GRMZM2G131155,GRMZM5G800211
Sb01g041110,GRMZM2G110004,GRMZM2G090868
Sb02g026860,GRMZM2G072240,GRMZM2G168196
Sb01g047450,GRMZM2G054111,GRMZM2G089686
Sb03g039470,GRMZM2G081919,AC205326.3_FG002
Sb01g047980,GRMZM2G096247,GRMZM2G126763
Sb02g036750,GRMZM2G333980,GRMZM2G099295
Sb08g020070,GRMZM2G142660,GRMZM2G176282
Sb01g014530,GRMZM2G045678,GRMZM2G061292
Sb04g027110,GRMZM2G139858,GRMZM2G111923
Sb03g001430,GRMZM2G114050,GRMZM2G413717
Sb01g039080,GRMZM2G026654,GRMZM2G049340
Sb09g027070,GRMZM2G093503,GRMZM2G079746
Sb07g002420,GRMZM2G136700,GRMZM2G131595
Sb03g039270,GRMZM2G376061,GRMZM2G112799
Sb08g017880,GRMZM2G158911,GRMZM2G106906
Sb01g005300,GRMZM2G070322,GRMZM2G099491
Sb03g040860,GRMZM2G135703,GRMZM2G042218
Sb01g035410,GRMZM2G124576,GRMZM2G125148
Sb03g032280,GRMZM2G098569,GRMZM2G147721
Sb04g029970,GRMZM2G180930,GRMZM2G065030
Sb01g047850,GRMZM2G176397,GRMZM2G009808
Sb07g001710,GRMZM2G125138,GRMZM2G062476
Sb02g042480,GRMZM2G348863,GRMZM2G474468
Sb02g034460,GRMZM2G342895,GRMZM2G036619
Sb10g025260,GRMZM2G105167,GRMZM2G169184
Sb02g037660,GRMZM2G398506,GRMZM2G130854
Sb03g029240,GRMZM2G088299,GRMZM2G063684
Sb03g032040,GRMZM2G157317,GRMZM5G823017
Sb09g027690,GRMZM2G038032,GRMZM2G040477
Sb09g027130,GRMZM2G096491,GRMZM2G152436
Sb04g004970,GRMZM2G447989,GRMZM2G353659
Sb02g035220,GRMZM2G302601,GRMZM2G046933
Sb04g026880,GRMZM2G053236,GRMZM2G111756
Sb02g028450,GRMZM2G103902,GRMZM2G041633
Sb01g030470,GRMZM2G095698,GRMZM2G131221
Sb02g039950,GRMZM2G081857,GRMZM2G162781
Sb04g026730,GRMZM2G153263,GRMZM2G165778
Sb06g016060,GRMZM2G045185,GRMZM2G164663
Sb03g037180,GRMZM2G372477,AC194405.3_FG021
Sb02g038170,GRMZM2G053338,GRMZM2G378106
Sb09g008030,GRMZM2G157803,GRMZM2G124739
Sb01g042000,GRMZM2G122543,GRMZM2G177878
Sb03g030030,GRMZM2G003526,GRMZM2G030118
Sb02g007460,GRMZM2G082924,GRMZM2G008216
Sb02g025610,GRMZM2G011463,GRMZM2G045243
Sb03g009900,GRMZM2G332259,GRMZM2G095164
Sb01g002260,GRMZM2G057973,GRMZM2G004140
Sb03g001640,GRMZM2G085266,GRMZM2G372928
Sb02g041860,GRMZM2G009021,GRMZM2G141418
Sb04g035570,GRMZM2G122284,GRMZM2G016362
Sb09g028720,GRMZM2G402936,GRMZM2G155216
Sb02g001600,GRMZM2G100176,GRMZM2G173882
