name chr start stop
1 AC148152 2 231879064 231883596
2 AC148167 7 11670461 11676397
3 AC149818 9 152681210 152686896
4 AC149828 9 150685412 150689959
5 AC150739 9 155450360 155454201
6 AC152495 10 3283522 3287418
7 AC155352 2 35349359 35352189
8 AC155377 3 220967144 220986199
9 AC155390 1 32672149 32674146
10 AC155434 7 173848307 173849743
11 AC155496 5 4777613 4787373
12 AC155610 3 175729265 175732122
13 AC155622 3 4444109 4445302
14 AC155624 1 8260040 8264448
15 AC159612 5 4583376 4584976
16 AC165171 3 144777898 144779301
17 AC177831 2 49745575 49748552
18 AC177833 2 110693458 110697318
19 AC177844 2 68539054 68539362
20 AC177850 1 18141394 18143413
21 AC177890 1 282753810 282754304
22 AC177893 2 211669849 211670472
23 AC177905 1 115624175 115624687
24 AC177941 1 35852657 35853470
25 AC182105 4 85731239 85732971
26 AC182439 3 46895108 46895587
27 AC182617 3 127323461 127329588
28 AC182627 3 58308793 58309242
29 AC182831 3 194231832 194232419
30 AC182838 3 190568352 190568723
31 AC183319 3 37159449 37160238
32 AC183412 2 27476139 27479730
33 AC183817 5 86372740 86376384
34 AC183932 5 5582013 5584777
35 AC183944 9 81892913 81895462
36 AC183968 4 241958863 241961161
37 AC184112 3 155709275 155710094
38 AC184127 5 179839818 179840312
39 AC184130 4 235766705 235769786
40 AC184164 3 209391023 209391789
41 AC184170 3 133684028 133684675
42 AC184764 4 212748042 212749093
43 AC184765 3 213541770 213542889
44 AC184771 4 60542051 60542884
45 AC184775 3 148840799 148842241
46 AC184789 5 128748949 128753291
47 AC184794 4 86469185 86470911
48 AC185108 7 162223698 162224084
49 AC185217 4 190433230 190434394
50 AC185226 4 162608156 162617861
51 AC185254 4 74338759 74339616
52 AC185256 5 114521080 114522110
53 AC185300 4 228549374 228550450
54 AC185415 2 198337077 198340526
55 AC185422 4 149185260 149186584
56 AC185443 4 221857161 221860216
57 AC185460 5 183696095 183697024
58 AC185478 4 181432209 181432973
59 AC185504 4 164026950 164027504
60 AC185522 4 115485803 115486252
61 AC185586 4 80946868 80947233
62 AC185593 1 85784828 85785211
63 AC185605 5 44442095 44442547
64 AC185610 1 251564403 251564738
65 AC185611 1 206839157 206839480
66 AC185623 4 157655016 157655276
67 AC185642 4 164761947 164762273
68 AC185649 4 164534442 164534780
69 AC186145 4 59703414 59704172
70 AC186147 4 162939231 162940565
71 AC186195 2 13095219 13097164
72 AC186284 1 150696135 150698075
73 AC186310 4 231151926 231154060
74 AC186322 1 211505519 211506680
75 AC186375 6 111939511 111940304
76 AC186404 8 68684693 68685542
77 AC186433 6 86441148 86441759
78 AC186500 5 122071587 122072276
79 AC186506 1 160142896 160143560
80 AC186519 1 258733622 258734002
81 AC186524 1 180986273 180988779
82 AC186563 4 176841202 176841483
83 AC186579 8 158575181 158576180
84 AC186583 6 62111699 62113378
85 AC186603 1 168712313 168713761
86 AC186606 1 182653545 182654451
87 AC186611 8 112232776 112234776
88 AC186613 2 36668243 36668857
89 AC186656 1 288714863 288715189
90 AC186667 1 275768316 275769385
91 AC186669 3 203553884 203555863
92 AC186785 7 110466868 110469234
93 AC186789 8 146279642 146279916
94 AC186807 8 74221156 74221494
95 AC186828 6 77425455 77425883
96 AC187046 7 162135607 162137418
97 AC187056 6 71742167 71743764
98 AC187067 7 175773542 175773997
