chr	start	stop	name	pct_at	pct_gc	num_A	num_C	num_G	num_T	num_N	num_oth	seq_len
Pt	3362	5603	GRMZM5G811749	0.677822	0.322178	764	408	314	755	0	0	2241
Pt	1673	3307	GRMZM5G836994	0.665851	0.334149	597	254	292	491	0	0	1634
Pt	6391	12985	GRMZM5G856777	0.626175	0.373825	1905	1198	1267	2224	0	0	6594
Pt	12719	15096	GRMZM5G813608	0.638199	0.361801	762	452	408	755	0	0	2377
Pt	21467	24694	GRMZM5G877454	0.603037	0.396963	1030	564	717	916	0	0	3227
Pt	26982	31565	GRMZM5G892247	0.618809	0.381191	1539	781	966	1297	0	0	4583
Pt	24732	26783	GRMZM5G899366	0.606533	0.393467	649	365	442	595	0	0	2051
Pt	31857	32567	GRMZM5G809869	0.626761	0.373239	235	121	144	210	0	0	710
Pt	32819	34638	GRMZM5G875287	0.642661	0.357339	551	293	357	618	0	0	1819
Pt	50534	52366	GRMZM5G800980	0.610808	0.389192	579	386	327	540	0	0	1832
Pt	54175	56113	GRMZM5G808402	0.579979	0.420021	533	454	360	591	0	0	1938
Pt	63866	65747	GRMZM5G801958	0.673046	0.326954	607	307	308	659	0	0	1881
Pt	56823	58322	GRMZM5G815453	0.569713	0.430287	429	283	362	425	0	0	1499
Pt	59193	62446	GRMZM5G831540	0.638795	0.361205	989	561	614	1089	0	0	3253
Pt	73841	74542	GRMZM5G800780	0.593438	0.406562	171	127	158	245	0	0	701
Pt	66997	67197	GRMZM5G801074	0.635000	0.365000	74	30	43	53	0	0	200
Pt	66311	70203	GRMZM5G804708	0.663669	0.336331	1252	693	616	1331	0	0	3892
Pt	70705	72489	GRMZM5G808939	0.571188	0.428812	422	313	452	597	0	0	1784
Pt	67531	68043	GRMZM5G815606	0.679688	0.320312	197	100	64	151	0	0	512
Pt	72773	73327	GRMZM5G831399	0.642599	0.357401	166	94	104	190	0	0	554
Pt	79037	79408	GRMZM5G804776	0.611860	0.388140	102	82	62	125	0	0	371
Pt	78084	78407	GRMZM5G830210	0.597523	0.402477	73	73	57	120	0	0	323
Pt	81112	82517	GRMZM5G838396	0.664769	0.335231	359	246	225	575	0	0	1405
Pt	78487	78897	GRMZM5G845244	0.631707	0.368293	115	88	63	144	0	0	410
Pt	79518	79880	GRMZM5G853305	0.549724	0.450276	85	90	73	114	0	0	362
Pt	77251	77984	GRMZM5G858556	0.622101	0.377899	209	153	124	247	0	0	733
Pt	75622	77188	GRMZM5G879235	0.632184	0.367816	449	305	271	541	0	0	1566
Pt	75427	75951	GRMZM5G884960	0.593511	0.406489	140	107	106	171	0	0	524
Pt	83035	83802	GRMZM5G899836	0.547588	0.452412	187	204	143	233	0	0	767
Pt	92869	131083	GRMZM5G806488	0.576988	0.423012	11356	8148	8017	10693	0	0	38214
Pt	91652	93100	GRMZM5G844628	0.602901	0.397099	374	303	272	499	0	0	1448
Pt	87874	88395	GRMZM5G872747	0.577735	0.422265	128	110	110	173	0	0	521
Pt	89235	91471	GRMZM5G876106	0.615385	0.384615	735	417	443	641	0	0	2236
Pt	87514	87813	GRMZM5G877173	0.575251	0.424749	86	65	62	86	0	0	299
Pt	88700	88909	GRMZM5G898442	0.636364	0.363636	74	36	40	59	0	0	209
Pt	110137	111684	GRMZM5G800096	0.648352	0.351648	588	287	257	415	0	0	1547
Pt	111759	112004	GRMZM5G815553	0.567347	0.432653	71	58	48	68	0	0	245
Pt	105071	107368	GRMZM5G894515	0.673487	0.326513	905	390	360	642	0	0	2297
Pt	112472	112777	GRMZM5G835775	0.659016	0.340984	115	50	54	86	0	0	305
Pt	117771	118010	GRMZM5G844074	0.665272	0.334728	67	51	29	92	0	0	239
Pt	116455	117636	GRMZM5G853723	0.625741	0.374259	361	259	183	378	0	0	1181
Pt	112992	113522	GRMZM5G864407	0.647170	0.352830	203	94	93	140	0	0	530
Pt	113706	114248	GRMZM5G866223	0.647601	0.352399	171	97	94	180	0	0	542
Pt	114342	116453	GRMZM5G874448	0.669351	0.330649	762	355	343	651	0	0	2111
Pt	131264	133500	GRMZM5G810298	0.615832	0.384168	642	443	416	735	0	0	2236
Pt	138322	139806	GRMZM5G818111	0.570755	0.429245	482	275	362	365	0	0	1484
Pt	140067	140360	GRMZM5G855343	0.610922	0.389078	105	52	62	74	0	0	293
Pt	139823	140047	GRMZM5G866064	0.580357	0.419643	58	52	42	72	0	0	224
Pt	134922	135221	GRMZM5G866761	0.571906	0.428094	86	63	65	85	0	0	299
Pt	134340	134861	GRMZM5G885905	0.575816	0.424184	173	111	110	127	0	0	521
Pt	133826	134035	GRMZM5G898466	0.641148	0.358852	60	40	35	74	0	0	209
Mt	8751	9914	GRMZM5G816453	0.607911	0.392089	362	177	279	345	0	0	1163
Mt	11110	13314	GRMZM5G806435	0.606171	0.393829	628	491	377	708	0	0	2204
Mt	19812	20888	GRMZM5G849223	0.600372	0.399628	378	210	220	268	0	0	1076
Mt	17206	19114	GRMZM5G853409	0.555556	0.444444	525	391	457	535	0	0	1908
Mt	26912	27882	GRMZM5G851708	0.563918	0.436082	231	206	217	316	0	0	970
Mt	21089	22697	GRMZM5G892769	0.546020	0.453980	463	331	399	415	0	0	1608
Mt	24645	25497	GRMZM5G892983	0.538732	0.461268	259	201	192	200	0	0	852
Mt	37305	38380	GRMZM5G860062	0.600930	0.399070	311	239	190	335	0	0	1075
Mt	42602	43922	GRMZM5G894376	0.525758	0.474242	349	293	333	345	0	0	1320
Mt	58051	58527	GRMZM5G816274	0.510504	0.489496	106	124	109	137	0	0	476
Mt	51506	53058	GRMZM5G852144	0.538660	0.461340	423	372	344	413	0	0	1552
Mt	58743	59347	GRMZM5G854065	0.557947	0.442053	191	130	137	146	0	0	604
Mt	68276	68596	GRMZM5G849018	0.546875	0.453125	121	46	99	54	0	0	320
Mt	65334	65681	GRMZM5G856972	0.530259	0.469741	100	80	83	84	0	0	347
Mt	63561	64040	GRMZM5G877040	0.498956	0.501044	103	133	107	136	0	0	479
