name chr start stop
1 AC152495 10 3283522 3287418
2 AC155352 2 35349359 35352189
3 AC177900 1 91096808 91097170
4 AC177905 1 115624175 115624687
5 AC177911 1 16789304 16789867
6 AC177922 3 74807795 74808415
7 AC177941 1 35852657 35853470
8 AC177947 1 33360058 33360669
9 AC182439 3 46895108 46895587
10 AC182831 3 194231832 194232419
11 AC182838 3 190568352 190568723
12 AC183372 3 141361115 141361927
13 AC184170 3 133684028 133684675
14 AC184171 4 206488586 206489242
15 AC184775 3 148840799 148842241
16 AC184789 5 128748949 128753291
17 AC185217 4 190433230 190434394
18 AC185256 5 114521080 114522110
19 AC185281 5 90854465 90856161
20 AC185504 4 164026950 164027504
21 AC185586 4 80946868 80947233
22 AC185587 1 203132948 203134531
23 AC186417 1 13071384 13073261
24 AC186512 4 163706516 163707558
25 AC186581 7 40987770 40988632
26 AC186583 6 62111699 62113378
27 AC186613 2 36668243 36668857
28 AC186619 1 207378626 207379899
29 AC186667 1 275768316 275769385
30 AC186800 7 138410349 138410879
31 AC187046 7 162135607 162137418
32 AC187090 8 9379651 9380954
33 AC187092 8 70080490 70080903
34 AC187222 3 139310833 139312517
35 AC187404 10 60757204 60757918
36 AC187469 9 140761756 140762490
37 AC187800 1 65648323 65648610
38 AC187813 5 186874460 186874861
39 AC187887 6 132416642 132417222
40 AC188001 8 169460491 169463252
41 AC188036 10 82165256 82166173
42 AC188582 9 82965479 82966084
43 AC188718 7 125570036 125572243
44 AC188723 8 86927012 86927935
45 AC188727 9 6371876 6374643
46 AC188755 6 64475394 64476116
47 AC189048 6 23959268 23960772
48 AC189052 1 177865164 177868242
49 AC189752 4 209269433 209269936
50 AC189792 8 76747660 76748265
51 AC190035 2 178053060 178055295
52 AC190507 2 88395414 88396217
53 AC190526 5 156237128 156240524
54 AC190587 9 114054272 114056981
55 AC190590 10 53201932 53202456
56 AC190643 5 212258577 212259139
57 AC190734 5 11858800 11859879
58 AC190749 4 162114430 162115489
59 AC190799 1 9062502 9063230
60 AC190811 2 146055936 146056739
61 AC190934 1 29494077 29494619
62 AC191049 1 165036795 165037190
63 AC191064 9 123861502 123862716
64 AC191254 5 176237626 176239161
65 AC191328 4 123716437 123716658
66 AC191338 2 72010854 72012814
67 AC191380 1 169204281 169204967
68 AC191541 3 205611714 205614906
69 AC191577 5 137163652 137165547
70 AC191686 3 56333767 56334246
71 AC191778 4 17897174 17897692
72 AC191804 5 153179881 153180914
73 AC192240 5 67242721 67243307
74 AC192330 10 140022557 140024392
75 AC193503 7 9136953 9137495
76 AC193625 4 12114483 12114929
77 AC194045 9 54415590 54416185
78 AC194136 10 85464869 85465291
79 AC194163 2 138072492 138072884
80 AC194172 1 190104934 190108396
